actor_id,actors
0,Joel David Moore
1,CCH Pounder
2,Wes Studi
3,Orlando Bloom
4,Johnny Depp
5,Jack Davenport
6,Rory Kinnear
7,Christoph Waltz
8,Stephanie Sigman
9,Christian Bale
10,Tom Hardy
11,Joseph Gordon-Levitt
12,Rob Walker
13,Doug Walker
14,
15,Samantha Morton
16,Daryl Sabara
17,Polly Walker
18,Donna Murphy
19,Brad Garrett
20,M.C. Gainey
21,Robert Downey Jr.
22,Chris Hemsworth
23,Scarlett Johansson
24,Daniel Radcliffe
25,Alan Rickman
26,Rupert Grint
27,Lauren Cohan
28,Henry Cavill
29,Alan D. Purwin
30,Marlon Brando
31,Kevin Spacey
32,Frank Langella
33,Mathieu Amalric
34,Giancarlo Giannini
35,Rory Kinnear
36,Orlando Bloom
37,Johnny Depp
38,Jack Davenport
39,Ruth Wilson
40,Johnny Depp
41,Tom Wilkinson
42,Christopher Meloni
43,Henry Cavill
44,Harry Lennix
45,Pierfrancesco Favino
46,Peter Dinklage
47,Damián Alcázar
48,Sam Claflin
49,Johnny Depp
50,Stephen Graham
51,Michael Stuhlbarg
52,Will Smith
53,Nicole Scherzinger
54,Adam Brown
55,Aidan Turner
56,James Nesbitt
57,Andrew Garfield
58,Emma Stone
59,Chris Zylka
60,William Hurt
61,Mark Addy
62,Scott Grimes
63,Adam Brown
64,Aidan Turner
65,James Nesbitt
66,Eva Green
67,Christopher Lee
68,Kristin Scott Thomas
69,Kate Winslet
70,Leonardo DiCaprio
71,Gloria Stuart
72,Scarlett Johansson
73,Robert Downey Jr.
74,Chris Evans
75,Alexander Skarsgård
76,Liam Neeson
77,Tadanobu Asano
78,Judy Greer
79,Bryce Dallas Howard
80,Omar Sy
81,James Franco
82,J.K. Simmons
83,Kirsten Dunst
84,Jon Favreau
85,Robert Downey Jr.
86,Don Cheadle
87,Kelsey Grammer
88,Hugh Jackman
89,Daniel Cudmore
90,Tyler Labine
91,Steve Buscemi
92,Sean Hayes
93,Kevin Dunn
94,Glenn Morshower
95,Ramon Rodriguez
96,Sophia Myles
97,Bingbing Li
98,Kelsey Grammer
99,Andrew Garfield
100,Emma Stone
101,B.J. Novak
102,Thomas Kretschmann
103,Joe Mantegna
104,Eddie Izzard
105,Temuera Morrison
106,Ryan Reynolds
107,Taika Waititi
108,John Ratzenberger
109,Tom Hanks
110,Don Rickles
111,Bryce Dallas Howard
112,Christian Bale
113,Common
114,Paul Walker
115,Jason Statham
116,Vin Diesel
117,Brad Pitt
118,Peter Capaldi
119,Mireille Enos
120,Peter Dinklage
121,Jennifer Lawrence
122,Hugh Jackman
123,Bruce Greenwood
124,Benedict Cumberbatch
125,Noel Clarke
126,Ewen Bremner
127,Eddie Marsan
128,Ralph Brown
129,Richard Coyle
130,Jake Gyllenhaal
131,Reece Ritchie
132,Clifton Collins Jr.
133,Charlie Hunnam
134,Larry Joe Campbell
135,Lester Speight
136,Glenn Morshower
137,Kevin Dunn
138,Ray Winstone
139,Harrison Ford
140,Jim Broadbent
141,Jack McGraw
142,A.J. Buckley
143,Peter Sohn
144,John Ratzenberger
145,Kelly Macdonald
146,Julie Walters
147,Melissa Roxburgh
148,Sofia Boutella
149,Lydia Wilson
150,Fred Willard
151,John Ratzenberger
152,Jeff Garlin
153,Dana Ivey
154,Tzi Ma
155,Noémie Lenoir
156,Liam James
157,Oliver Platt
158,Tom McCarthy
159,Colin Firth
160,Robin Wright
161,Gary Oldman
162,Mila Kunis
163,Channing Tatum
164,Eddie Redmayne
165,Kiran Shah
166,Jim Broadbent
167,Shane Rangi
168,Michael Fassbender
169,Jennifer Lawrence
170,Tye Sheridan
171,Heath Ledger
172,Christian Bale
173,Morgan Freeman
174,Delroy Lindo
175,John Ratzenberger
176,Jess Harnell
177,Rainn Wilson
178,Amy Poehler
179,Stephen Colbert
180,Jeff Bridges
181,Robert Downey Jr.
182,Jon Favreau
183,Christopher Lee
184,Chloë Grace Moretz
185,Ray Winstone
186,Salma Hayek
187,Will Smith
188,Bai Ling
189,Brendan Fraser
190,Jet Li
191,Russell Wong
192,Robin Atkin Downes
193,Will Smith
194,Ike Barinholtz
195,Morgan Freeman
196,Jimmy Bennett
197,Steve Carell
198,Lara Pulver
199,Tom Cruise
200,Noah Taylor
201,Rick Aviles
202,Jeanne Tripplehorn
203,Zakes Mokae
204,Dennis Quaid
205,Joseph Gordon-Levitt
206,Leo Howard
207,Mindy Kaling
208,Amy Poehler
209,Phyllis Smith
210,Scarlett Johansson
211,Robert Downey Jr.
212,Jon Favreau
213,Kristen Stewart
214,Chris Hemsworth
215,Sam Claflin
216,Sharlto Copley
217,Angelina Jolie Pitt
218,Sam Riley
219,Judy Greer
220,Gary Oldman
221,Kodi Smit-McPhee
222,Cary-Hiroyuki Tagawa
223,Keanu Reeves
224,Jin Akanishi
225,Chris Evans
226,Scarlett Johansson
227,Hayley Atwell
228,Kathy Griffin
229,Jon Hamm
230,Mary Kay Place
231,Chris Bauer
232,Judy Greer
233,Thomas Robinson
234,Daniel Henney
235,Damon Wayans Jr.
236,Abraham Benrubi
237,Sarah Silverman
238,Jack McBrayer
239,Joe Lo Truglio
240,Eddie Deezen
241,Tom Hanks
242,Peter Scolari
243,Sela Ward
244,Vivica A. Fox
245,Judd Hirsch
246,America Ferrera
247,Gerard Butler
248,Craig Ferguson
249,M.C. Gainey
250,Nick Stahl
251,Carolyn Hennesy
252,Vin Diesel
253,Bradley Cooper
254,Djimon Hounsou
255,Anne Hathaway
256,Matthew McConaughey
257,Mackenzie Foy
258,Tom Hardy
259,Leonardo DiCaprio
260,Joseph Gordon-Levitt
261,Adam Brown
262,Aidan Turner
263,James Nesbitt
264,Jason Flemyng
265,Brad Pitt
266,Julia Ormond
267,Michael Fassbender
268,Jennifer Lawrence
269,Oliver Platt
270,Philip Seymour Hoffman
271,Jennifer Lawrence
272,Josh Hutcherson
273,Omar Benson Miller
274,Nicolas Cage
275,Robert Capron
276,Mike Vogel
277,Jimmy Bennett
278,Andre Braugher
279,Alan Rickman
280,Johnny Depp
281,Anne Hathaway
282,Eric Idle
283,Justin Timberlake
284,Rupert Everett
285,Callum Rennie
286,Dominic Cooper
287,Ruth Negga
288,Emilia Clarke
289,J.K. Simmons
290,Matt Smith
291,Shane Rangi
292,Bruce Spence
293,Laura Brent
294,Jaime King
295,Jennifer Garner
296,Mako
297,Michael O'Neill
298,Zack Ward
299,Kevin Dunn
300,Angelina Jolie Pitt
301,Anthony Hopkins
302,Brian Blessed
303,Daniel Radcliffe
304,Robert Pattinson
305,Fiona Shaw
306,Daniel Radcliffe
307,Robert Pattinson
308,Rupert Grint
309,Charlize Theron
310,Will Smith
311,Eddie Marsan
312,Alice Braga
313,Will Smith
314,Willow Smith
315,Christopher Lee
316,Johnny Depp
317,David Kelly
318,John Ratzenberger
319,Janeane Garofalo
320,Brian Dennehy
321,Liam Neeson
322,Christian Bale
323,Morgan Freeman
324,Jada Pinkett Smith
325,Bernie Mac
326,Cedric the Entertainer
327,Rami Malek
328,Robin Williams
329,Steve Coogan
330,Ryan Reynolds
331,Hugh Jackman
332,Dominic Monaghan
333,Collin Chou
334,Essie Davis
335,Nona Gaye
336,Maurice LaMarche
337,Josh Gad
338,Livvy Stubenrauch
339,Daniel Bernhardt
340,Steve Bastoni
341,Helmut Bakaitis
342,Natalie Portman
343,Chris Hemsworth
344,Anthony Hopkins
345,Charlize Theron
346,Tom Hardy
347,Zoë Kravitz
348,Ayelet Zurer
349,Tom Hanks
350,Armin Mueller-Stahl
351,Natalie Portman
352,Chris Hemsworth
353,Anthony Hopkins
354,Diedrich Bader
355,Chloë Grace Moretz
356,James Lipton
357,Piper Mackenzie Harris
358,Kelli Garner
359,Niecy Nash
360,Edgar Ramírez
361,Liam Neeson
362,Lily James
363,Chloë Grace Moretz
364,Johnny Depp
365,Christopher Lee
366,Jeremy Renner
367,Tom Cruise
368,Sean Harris
369,Simon Merrells
370,Anthony Hopkins
371,Art Malik
372,Alexander Skarsgård
373,Christoph Waltz
374,Casper Crump
375,Oprah Winfrey
376,Matthew Broderick
377,Rip Torn
378,Gary Oldman
379,Angelina Jolie Pitt
380,Mike Bell
381,Noah Ringer
382,Seychelle Gabriel
383,Aasif Mandvi
384,Tom Cruise
385,Philip Seymour Hoffman
386,Eddie Marsan
387,Jake Weber
388,Channing Tatum
389,Matt Craven
390,Dan Fogler
391,Elisabeth Harnois
392,Tom Everett Scott
393,Kate Winslet
394,Hugh Jackman
395,David Suchet
396,Zach Callison
397,Ty Burrell
398,Karan Brar
399,Orlando Bloom
400,Brad Pitt
401,Julian Glover
402,Martin Short
403,Jada Pinkett Smith
404,Cedric the Entertainer
405,Colin Salmon
406,Toby Stephens
407,Rick Yune
408,Steve Buscemi
409,Bruce Willis
410,Will Patton
411,Rosario Dawson
412,Will Smith
413,Rip Torn
414,Anthony Hopkins
415,Robin Wright
416,Sebastian Roché
417,Angelina Jolie Pitt
418,J.K. Simmons
419,Wayne Knight
420,Jeremy Renner
421,Tom Cruise
422,Michael Nyqvist
423,Kamil McFadden
424,Hugh Jackman
425,Khamani Griffin
426,Richard Burgi
427,John Michael Higgins
428,David Herman
429,Tony Goldwyn
430,Tom Cruise
431,Chad Lindberg
432,Leonard Nimoy
433,Chris Hemsworth
434,Bruce Greenwood
435,James Franco
436,J.K. Simmons
437,Kirsten Dunst
438,Djimon Hounsou
439,Gerard Butler
440,America Ferrera
441,Elodie Yung
442,Gerard Butler
443,Bryan Brown
444,Joe Morton
445,Sam Shepard
446,Richard Roxburgh
447,Billy Crudup
448,Matt Frewer
449,Stephen McHattie
450,Rene Russo
451,Jet Li
452,Darlene Love
453,Regi Davis
454,Kevin Rankin
455,Celia Weston
456,Dwayne Johnson
457,Channing Tatum
458,Elodie Yung
459,Rainn Wilson
460,Matthew McConaughey
461,Delroy Lindo
462,Ming-Na Wen
463,Steve Buscemi
464,Jean Simmons
465,Dominic Cooper
466,Chris Evans
467,Hayley Atwell
468,Maria Grazia Cucinotta
469,Colin Salmon
470,Desmond Llewelyn
471,Lee Ingleby
472,James D'Arcy
473,David Threlfall
474,Brad Pitt
475,Robin Williams
476,Common
477,Peter Mensah
478,Ty Burrell
479,William Hurt
480,Philip Michael Thomas
481,Don Johnson
482,John Diehl
483,Penelope Wilton
484,Mark Rylance
485,Rafe Spall
486,Tom Hardy
487,Leonardo DiCaprio
488,Lukas Haas
489,Snoop Dogg
490,Ryan Reynolds
491,Ben Schwartz
492,Ray Winstone
493,Johnny Depp
494,Stephen Root
495,Annet Mahendru
496,Benedict Cumberbatch
497,Andy Richter
498,Edgar Ramírez
499,Matt Damon
500,Albert Finney
501,Wayne Knight
502,Angelina Jolie Pitt
503,Dan Fogler
504,Hayley Atwell
505,Judy Greer
506,T.I.
507,Josh Hutcherson
508,Jennifer Lawrence
509,Sandra Ellis Lafferty
510,Kristen Stewart
511,Robert Pattinson
512,Taylor Lautner
513,Lisa Ann Walter
514,Tom Cruise
515,Rick Gonzalez
516,Henry Rollins
517,Will Smith
518,Jordi Mollà
519,Constance Marie
520,Salma Hayek
521,Amy Sedaris
522,Andre Braugher
523,Angelina Jolie Pitt
524,August Diehl
525,Emma Watson
526,Anthony Hopkins
527,Logan Lerman
528,Mackenzie Crook
529,Toby Jones
530,Tony Curran
531,Gary Oldman
532,Daniel Radcliffe
533,Rupert Grint
534,Bryan Brown
535,Essie Davis
536,Eddie Baroo
537,Zoë Kravitz
538,Will Smith
539,Glenn Morshower
540,D.B. Sweeney
541,Alfre Woodard
542,Della Reese
543,Dave Legeno
544,Rupert Grint
545,Ralph Ineson
546,Rami Malek
547,Robin Williams
548,Steve Coogan
549,Brad Pitt
550,J.K. Simmons
551,Will Ferrell
552,Fiona Shaw
553,Daniel Radcliffe
554,Verne Troyer
555,Jeff Bridges
556,Ryan Reynolds
557,Stephanie Szostak
558,Shin'ya Tsukamoto
559,Mark Chinnery
560,Atsuko Maeda
561,Orlando Bloom
562,Johnny Depp
563,Jack Davenport
564,Toby Jones
565,Rupert Grint
566,Alfred Enoch
567,Philip Seymour Hoffman
568,Jennifer Lawrence
569,Josh Hutcherson
570,Seth Gabel
571,Tom Hanks
572,Jürgen Prochnow
573,Rachel Crow
574,Miguel Ferrer
575,Jeffrey Garcia
576,Bruce Davison
577,Hugh Jackman
578,Aaron Stanford
579,Vin Diesel
580,Paul Walker
581,Dwayne Johnson
582,Eddie Marsan
583,Robert Downey Jr.
584,Paul Anderson
585,Vladimir Kulich
586,Tony Curran
587,Clive Russell
588,Scott Glenn
589,Jeremy Renner
590,Stacy Keach
591,Vivica A. Fox
592,Michael Gough
593,John Glover
594,T.J. Thyne
595,Clint Howard
596,Molly Shannon
597,Dennis Quaid
598,Jake Gyllenhaal
599,Sela Ward
600,Dougray Scott
601,Tom Cruise
602,Richard Roxburgh
603,Mary Elizabeth Mastrantonio
604,Karen Allen
605,Bob Gunton
606,Ioan Gruffudd
607,Chris Evans
608,Andre Braugher
609,Rafe Spall
610,Suraj Sharma
611,Tabu
612,Matt Long
613,Nicolas Cage
614,Peter Fonda
615,Riz Ahmed
616,Matt Damon
617,Ato Essandoh
618,Bernie Mac
619,Demi Moore
620,Justin Theroux
621,Charlize Theron
622,Michael Fassbender
623,Sean Harris
624,Brad Garrett
625,Nathan Lane
626,Melanie Griffith
627,Sharlto Copley
628,Matt Damon
629,Alice Braga
630,Alexa Davalos
631,Vin Diesel
632,Christina Cox
633,Kick Gurry
634,Scott Porter
635,Nicholas Elia
636,Domenick Lombardozzi
637,Shelley Conn
638,Teyonah Parris
639,Marc Blucas
640,Tom Cruise
