movie_id,duration,gross,movie_title,num_voted_users,language,country,content_rating,budget,title_year,imdb_score,aspect_ratio
0,178.0,760505847.0,Avatar ,886204,English,USA,PG-13,237000000.0,2009.0,7.9,1.78
1,169.0,309404152.0,Pirates of the Caribbean: At World's End ,471220,English,USA,PG-13,300000000.0,2007.0,7.1,2.35
2,148.0,200074175.0,Spectre ,275868,English,UK,PG-13,245000000.0,2015.0,6.8,2.35
3,164.0,448130642.0,The Dark Knight Rises ,1144337,English,USA,PG-13,250000000.0,2012.0,8.5,2.35
4,,,Star Wars: Episode VII - The Force Awakens             ,8,,,,,,7.1,
5,132.0,73058679.0,John Carter ,212204,English,USA,PG-13,263700000.0,2012.0,6.6,2.35
6,100.0,200807262.0,Tangled ,294810,English,USA,PG,260000000.0,2010.0,7.8,1.85
7,141.0,458991599.0,Avengers: Age of Ultron ,462669,English,USA,PG-13,250000000.0,2015.0,7.5,2.35
8,153.0,301956980.0,Harry Potter and the Half-Blood Prince ,321795,English,UK,PG,250000000.0,2009.0,7.5,2.35
9,183.0,330249062.0,Batman v Superman: Dawn of Justice ,371639,English,USA,PG-13,250000000.0,2016.0,6.9,2.35
10,169.0,200069408.0,Superman Returns ,240396,English,USA,PG-13,209000000.0,2006.0,6.1,2.35
11,106.0,168368427.0,Quantum of Solace ,330784,English,UK,PG-13,200000000.0,2008.0,6.7,2.35
12,151.0,423032628.0,Pirates of the Caribbean: Dead Man's Chest ,522040,English,USA,PG-13,225000000.0,2006.0,7.3,2.35
13,150.0,89289910.0,The Lone Ranger ,181792,English,USA,PG-13,215000000.0,2013.0,6.5,2.35
14,143.0,291021565.0,Man of Steel ,548573,English,USA,PG-13,225000000.0,2013.0,7.2,2.35
15,150.0,141614023.0,The Chronicles of Narnia: Prince Caspian ,149922,English,USA,PG,225000000.0,2008.0,6.6,2.35
16,136.0,241063875.0,Pirates of the Caribbean: On Stranger Tides ,370704,English,USA,PG-13,250000000.0,2011.0,6.7,2.35
17,106.0,179020854.0,Men in Black 3 ,268154,English,USA,PG-13,225000000.0,2012.0,6.8,1.85
18,164.0,255108370.0,The Hobbit: The Battle of the Five Armies ,354228,English,New Zealand,PG-13,250000000.0,2014.0,7.5,2.35
19,153.0,262030663.0,The Amazing Spider-Man ,451803,English,USA,PG-13,230000000.0,2012.0,7.0,2.35
20,156.0,105219735.0,Robin Hood ,211765,English,USA,PG-13,200000000.0,2010.0,6.7,2.35
21,186.0,258355354.0,The Hobbit: The Desolation of Smaug ,483540,English,USA,PG-13,225000000.0,2013.0,7.9,2.35
22,113.0,70083519.0,The Golden Compass ,149019,English,USA,PG-13,180000000.0,2007.0,6.1,2.35
23,194.0,658672302.0,Titanic ,793059,English,USA,PG-13,200000000.0,1997.0,7.7,2.35
24,147.0,407197282.0,Captain America: Civil War ,272670,English,USA,PG-13,250000000.0,2016.0,8.2,2.35
25,131.0,65173160.0,Battleship ,202382,English,USA,PG-13,209000000.0,2012.0,5.9,2.35
26,124.0,652177271.0,Jurassic World ,418214,English,USA,PG-13,150000000.0,2015.0,7.0,2.0
27,135.0,373377893.0,Spider-Man 2 ,411164,English,USA,PG-13,200000000.0,2004.0,7.3,2.35
28,195.0,408992272.0,Iron Man 3 ,557489,English,USA,PG-13,200000000.0,2013.0,7.2,2.35
29,104.0,234360014.0,X-Men: The Last Stand ,383427,English,Canada,PG-13,210000000.0,2006.0,6.8,2.35
30,104.0,268488329.0,Monsters University ,235025,English,USA,G,200000000.0,2013.0,7.3,1.85
31,150.0,402076689.0,Transformers: Revenge of the Fallen ,323207,English,USA,PG-13,200000000.0,2009.0,6.0,2.35
32,165.0,245428137.0,Transformers: Age of Extinction ,242420,English,USA,PG-13,210000000.0,2014.0,5.7,2.35
33,142.0,202853933.0,The Amazing Spider-Man 2 ,321227,English,USA,PG-13,200000000.0,2014.0,6.7,2.35
34,106.0,191450875.0,Cars 2 ,101178,English,USA,G,200000000.0,2011.0,6.3,2.35
35,123.0,116593191.0,Green Lantern ,223393,English,USA,PG-13,200000000.0,2011.0,5.6,2.35
36,103.0,414984497.0,Toy Story 3 ,544884,English,USA,G,200000000.0,2010.0,8.3,1.85
37,118.0,125320003.0,Terminator Salvation ,286095,English,USA,PG-13,200000000.0,2009.0,6.6,2.35
38,140.0,350034110.0,Furious 7 ,278232,English,USA,PG-13,190000000.0,2015.0,7.2,2.35
39,123.0,202351611.0,World War Z ,465019,English,USA,PG-13,190000000.0,2013.0,7.0,2.35
40,149.0,233914986.0,X-Men: Days of Future Past ,514125,English,USA,PG-13,200000000.0,2014.0,8.0,2.35
41,132.0,228756232.0,Star Trek Into Darkness ,395573,English,USA,PG-13,190000000.0,2013.0,7.8,2.35
42,114.0,65171860.0,Jack the Giant Slayer ,106416,English,USA,PG-13,195000000.0,2013.0,6.3,2.35
43,116.0,90755643.0,Prince of Persia: The Sands of Time ,222403,English,USA,PG-13,200000000.0,2010.0,6.6,2.35
44,131.0,101785482.0,Pacific Rim ,381148,English,USA,PG-13,190000000.0,2013.0,7.0,1.85
45,154.0,352358779.0,Transformers: Dark of the Moon ,326180,English,USA,PG-13,195000000.0,2011.0,6.3,2.35
46,122.0,317011114.0,Indiana Jones and the Kingdom of the Crystal Skull ,333847,English,USA,PG-13,185000000.0,2008.0,6.2,2.35
47,93.0,123070338.0,The Good Dinosaur ,62836,English,USA,PG,,2015.0,6.8,2.35
48,93.0,237282182.0,Brave ,273556,English,USA,PG,185000000.0,2012.0,7.2,2.35
49,122.0,130468626.0,Star Trek Beyond ,53607,English,USA,PG-13,185000000.0,2016.0,7.5,2.35
50,98.0,223806889.0,WALL·E ,718837,English,USA,G,180000000.0,2008.0,8.4,2.35
51,91.0,140080850.0,Rush Hour 3 ,121084,English,USA,PG-13,140000000.0,2007.0,6.2,2.35
52,158.0,166112167.0,2012 ,283418,English,USA,PG-13,200000000.0,2009.0,5.8,2.35
53,96.0,137850096.0,A Christmas Carol ,72809,English,USA,PG,200000000.0,2009.0,6.8,2.35
54,127.0,47375327.0,Jupiter Ascending ,139593,English,USA,PG-13,176000000.0,2015.0,5.4,2.35
55,150.0,291709845.0,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",286506,English,USA,PG,180000000.0,2005.0,6.9,2.35
56,144.0,154985087.0,X-Men: Apocalypse ,148379,English,USA,PG-13,178000000.0,2016.0,7.3,2.35
57,152.0,533316061.0,The Dark Knight ,1676169,English,USA,PG-13,185000000.0,2008.0,9.0,2.35
58,96.0,292979556.0,Up ,665575,English,USA,PG,175000000.0,2009.0,8.3,1.85
59,94.0,198332128.0,Monsters vs. Aliens ,114553,English,USA,PG,175000000.0,2009.0,6.5,2.35
60,126.0,318298180.0,Iron Man ,696338,English,USA,PG-13,140000000.0,2008.0,7.9,2.35
61,126.0,73820094.0,Hugo ,245333,English,USA,PG,170000000.0,2011.0,7.5,1.85
62,106.0,113745408.0,Wild Wild West ,129601,English,USA,PG-13,170000000.0,1999.0,4.8,1.85
63,112.0,102176165.0,The Mummy: Tomb of the Dragon Emperor ,117927,English,USA,PG-13,145000000.0,2008.0,5.2,2.35
64,123.0,161087183.0,Suicide Squad ,118992,English,USA,PG-13,175000000.0,2016.0,6.9,2.35
65,96.0,100289690.0,Evan Almighty ,115099,English,USA,PG,175000000.0,2007.0,5.4,2.35
66,113.0,100189501.0,Edge of Tomorrow ,431620,English,USA,PG-13,178000000.0,2014.0,7.9,2.35
67,176.0,88246220.0,Waterworld ,144337,English,USA,PG-13,175000000.0,1995.0,6.1,1.85
68,118.0,150167630.0,G.I. Joe: The Rise of Cobra ,174578,English,USA,PG-13,175000000.0,2009.0,5.8,2.35
